coin,cluster_id,t_start,t_end,deficit_usd,total_capacity_usd,budget_queue_usd,overshoot_queue_usd,residual_queue_usd
LINK,1,2025-10-10 21:16:04.831000+00:00,2025-10-10 21:16:04.831000+00:00,0.0,643196.8955910001,98779.54389700003,98779.54389700003,0.0
LINK,2,2025-10-10 21:16:56.356000+00:00,2025-10-10 21:16:56.356000+00:00,0.0,1591240.3944047692,1563849.659564769,1563849.659564769,0.0
LINK,3,2025-10-10 21:17:14.132000+00:00,2025-10-10 21:17:14.132000+00:00,14.097364000000002,4112964.632946999,722125.8578269999,722111.7604629998,0.0
LINK,4,2025-10-10 21:17:26.528000+00:00,2025-10-10 21:17:26.528000+00:00,0.0,750471.2468430686,40707.287400657384,40707.287400657384,0.0
LINK,5,2025-10-10 21:18:23.989000+00:00,2025-10-10 21:18:23.989000+00:00,0.0,588275.1517311306,61332.667820982795,61332.667820982795,0.0
LINK,6,2025-10-10 21:18:44.652000+00:00,2025-10-10 21:18:44.652000+00:00,0.0,355230.010280778,102132.19104423777,102132.19104423777,0.0
LINK,7,2025-10-10 21:18:50.860000+00:00,2025-10-10 21:18:53.827000+00:00,0.0,549720.193037101,486266.7303906408,486266.7303906408,0.0
LINK,8,2025-10-10 21:19:08.820000+00:00,2025-10-10 21:19:12.705000+00:00,0.0,39446.03569999999,1145.3168480000002,1145.3168480000002,0.0
LINK,9,2025-10-10 21:19:18.209000+00:00,2025-10-10 21:19:18.209000+00:00,0.0,204326.71644510858,109188.88331403845,109188.88331403845,0.0
LINK,10,2025-10-10 21:19:25.321000+00:00,2025-10-10 21:19:25.321000+00:00,0.0,3691337.4040001137,3461342.060226621,3461342.060226621,0.0
LINK,11,2025-10-10 21:19:34.026000+00:00,2025-10-10 21:19:34.026000+00:00,0.0,160635.44119999994,27475.060608999996,27475.060608999996,0.0
LINK,12,2025-10-10 21:19:40.207000+00:00,2025-10-10 21:19:40.207000+00:00,0.0,1132771.412912888,624690.9355788879,624690.9355788879,0.0
LINK,13,2025-10-10 21:19:46.665000+00:00,2025-10-10 21:19:46.665000+00:00,0.0,56745.52651479269,12779.500990512142,12779.500990512142,0.0
LINK,14,2025-10-10 21:19:52.582000+00:00,2025-10-10 21:19:52.582000+00:00,0.0,16977.8071427529,0.2084293982798923,0.2084293982798923,0.0
LINK,15,2025-10-10 21:20:04.816000+00:00,2025-10-10 21:20:04.816000+00:00,0.0,17991.578654947618,4786.447049744665,4786.447049744665,0.0
LINK,16,2025-10-10 21:20:13.964000+00:00,2025-10-10 21:20:16.794000+00:00,0.0,20745.1938,9.012497,9.012497,0.0
LINK,17,2025-10-10 21:20:22.781000+00:00,2025-10-10 21:20:22.781000+00:00,0.0,29650.154774991897,46.704668028118135,46.704668028118135,0.0
LINK,18,2025-10-10 21:20:48.562000+00:00,2025-10-10 21:20:48.562000+00:00,0.0,58.85840000000002,5.79416,5.79416,0.0
LINK,19,2025-10-10 21:21:02.776000+00:00,2025-10-10 21:21:02.776000+00:00,0.0,8568.818539137,76.49252807859096,76.49252807859096,0.0
LINK,20,2025-10-10 21:21:08.703000+00:00,2025-10-10 21:21:08.703000+00:00,0.0,7536.127541001524,1026.818206284823,1026.818206284823,0.0
