user,n_adl_events,median_latency_ms,share_any_nonadl_fill_5000ms,mean_undo_frac_5000ms,share_any_nonadl_fill_60000ms,mean_undo_frac_60000ms,share_any_nonadl_fill_300000ms,mean_undo_frac_300000ms,strategic_score
0xdbfd2547abc97404e58e8631a74fd820b6863432,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xddab8742fdf7de499e98303c7220f85b869a741f,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x5705dd2efd4394119c1751a41521d8fc7a4e978f,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xa6517df70dbcb9626adcd589ef4d1c6f099bb93b,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x28928e1ef491060e046acc71f692cd9d4117eb6c,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x9f3a9e5e0be66b7c6ac726f964d1571138e545a3,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x14e63ebf08494c7b2f9934ec9dec6154d529d033,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xa036d547429692761e9022e8892a829c45d066a6,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x2a5d371b45d2851c792e53c6a6f11a629c3f72c7,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x90cce125fbfe42a4c6b55fd06968124bc63b2a14,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xce0786550d960f391749b83a448ef3c1a5b4d02a,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x22fae531252636b93988a6f8c9016a6e3bce37cd,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xf9865ba1117e16606aad8e78c02b2ff816c67217,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x042ee1aea2585a81bcc86ed9217821a16075e86f,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xa3efdd7c94601fa8cb1d7e99887d7201aa75065c,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x73422a2722066c1750cb9fcbf79cabf1f08f9bf4,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xbda3dc01673359e0abfa0cc9cfa67024358e5335,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xce77502c1851b32b0a42e4a67cf120b29dede431,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x800b2fe687fe1cbf1c8bab29cd0636253ba2b4c0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x3fc33295b3a61c6f13be37f801980f4374f19b2c,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x836f9e2e01e248703fa9265e46350a75382d7196,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x90519359772717891816c56defa62fb7f37b6950,4,2353210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x9544d367a650594d034eb6315a94fbd203ad89d5,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xbd5f762a522f3cfdc87956f6e81312d1a7664353,1,253337.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0x8bff50aad8b4e06c5e148eaeb9d7aef69e26cdc3,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x69c04f5ec02fadbd71d09a7a5c494481c12c95ae,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xa2b2b095b1ebdb0a875b907ed498458df1d9a63c,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x644dd150e80ec3c8a88715bce414b056c0d535d7,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xd3bb03995005c3f67624b813a48e3f5adc319c4c,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x626ad2c626be7ca703ae036f9371b3ceae56531b,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x56b8ac67168a2c4f4b4f75ab795b004cd99dc28b,1,1334854.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x483f3369bd1be0f101826782b9c28d26c8521c0f,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xcfbe223ea2125f1310d2565197890441082345c6,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x3476b44e9a44fe84dd57ae3548fdeb12a741a15f,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xf90c7f79add974395f1dcdb6859e2c1b59a4ac00,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x9075bc18ddbf8bf9ec70b2d9499a030344af2a64,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xecff54ab1726aadfc3eda65a42c24600b4eae5b8,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xb33ffc90dc0faf0733306b011315b13e93c2143d,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xcc3629484a770566d9d9b35ff51c79c5aa226a30,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
